sentiment,text
positive,Item was fit perfectly and delivered as described.
positive,Works as expected.  Seem to be well made.
positive,"These filters let air into the car removing particles from the outside. As far as I know, not one single particle has entered the vehicle and I am breathing SO much better! Being so clean, it feels there is actually more oxygen in the car. And as an added bonus, they fit perfect into my 2014 Toyota RAV4.<br />Going forward, I feel the rest of my life will go on swimmingly, particle free, living a long and prosperous life, breathing in the freshest air.<br />Thanks!<br />(p.s. Seriously, thanks...the price was right, it was delivered quickly, and easily installed ;)"
positive,"[[VIDEOID:f1bf578290d8d757747446c8f2e15e32]] I used the in my Doge Caliber and in my Lincoln.  For the Dodge, I allow my Siberian Husky in there and she can make it dirty inside.  This did a good job by just spraying and wiping it down with my microfiber cloth.  I feel it did a good job and I love the scent.  Since black is hard to clean, I also used it on the door my my Lincoln and feel it did a great job there.<br /><br />Trust you found this review honest and helpful:-)"
positive,"Would. It clamp down tight enough not to move, I just used some silicone rubber to make it a little tighter and work good.<br />Really like to have a beer hand free when mowing."
positive,Shipping was earlier than expected I LOVE the design and look of this the license plate holder Its is well made and I don't think it will have any problems9. I am very happy with this purchase and I even found a matching steering wheel cover 😍
negative,"This is your warning.  Do yourself a favor and do a quick internet search.  I bought my tao tao scooter in 2016, from a &#34;dealer&#34;.  It lasted me 300 miles then it started to mess up.  It woudn't start, the mirrors fell off, it started to leak gasoline, it would stall out at red lights and in traffic....  at 300 miles.  I bought it for 600 bucks and I was able to sell it for 150 bucks.  What I eventually found out about these tao tao scooters is that they are made in china, so if you are happy with dollar store components then this is the bike for you.  I also found out that there are no regulations on the safety and components of importing motorcycles like there is for cars.  Do yourself a favor and don't buy this brand because in my opinion this bike could kill you by failing to perform in traffic."
positive,Looks good feels good and protects well
negative,"When I got mine I heard something rattling around inside and I knew that wasn't going to be good. I found a chunk of melted plastic inside and a bunch of plastic shavings. What was it? I don't know.<br /><br />As another reviewer suggested I filled it up with some water first and the top cap immediately leaked. I emptied it and removed some plastic shavings from the inlet and now if I torque it down VERY hard it doesn't leak. This is not a good situation because this cheap plastic is not meant to be torqued down as hard as I have to do it to get a seal.<br /><br />I next filled it with hot water and tossed it around a few times to see if the side would split open. It didn't but the edge where the plastic is joined together definitely looks dodgy. I feel like mine is probably OK given the torture test I just put it through but I can understand how others split wide open.<br /><br />I gave it two stars despite all this because I love the design. It's really clever and maybe they ought to increase the price some and use quality manufacturing processes. If this can was made well it would easily be worth $50. As it is, maybe this is OK to transport small amounts of used oil (like a lawn mower or weed eater's worth) to the recycling. I would absolutely not trust large amounts of dirty oil in this can."
positive,"Awsome product, fit an looks great! 👌"
positive,"I really like this product. I have not used soap and water on my truck for the past three times I cleaned it. I just spray this product on an area, wipe with a damp cloth, and dry and that's it. Doesn't matter how dirty your vehicle is, you can just rinse your dirty rag and keep using it. Puts nice shine on the vehicle and it beads when wet. It works great on the windshield, chrome, plastic.... Cleaned the hole inside of my truck with it. Takes love bugs off pretty easily and keeps them from sticking as bad. I found that it does not work well for the fiberglass on my camper though. It doesn't shine it up like I thought it would."
positive,good fit. easy to replace.
positive,4 stars as bought at a very attractive price. Haven't used yet.
positive,"I would give it 4 stars, since it does all the maker says it will do and a little bit more and more is that it squeaks and it isn't supposed to. Someone says the friction material should be changed to yet another color (Andersen's third attempt at making a material that doesn't squeak). Other brands make 10 times this noise, but it wasn't me that mentioned not squeaking. The beauty is the simplicity and light weight. Overall, I love it."
positive,"This drain pan made changing my oil so much cleaner, no mess, no spill and most importantly when the time came to pour the oil into a container to dispose of (responsibly at a collection facility) I was able to pour it with great ease without any dripping."
positive,I love it!
positive,"these 12v led lamps are a great replacement for the old incandescent-style lamps in your car's interior lights. the led light is quite a bit &#34;cooler&#34; in color temperature, which provides a much truer color than the yellow-ish glow that the old lamps give off. their brightness is better than the old style lamps as well. the size is juuuuust a bit larger in diameter than the old lamps, which might cause you a bit of extra work installing them into tight spaces, but the base fits just as well as with the older incandescents.<br /><br />i had already installed another brand of led lights into one of my vehicles, so i swapped one of those out with one of these just to compare performance. you can see in the attached photo that the one on the right is slightly brighter than the one on the left. on the right is the yorkim, and on the left is another highly-reviewed brand on amazon, &#34;only&#34;. yorkim wins the brightness test!<br /><br />these led lamps are a great replacement for the older, dimmer, and possibly even blown out lights in your car or truck. the 10-pack provides you enough to redo the entire interior of your vehicle, and probably leaves a few spares as well. the price isn't the best you can find on amazon, but this is one of those cases where you get what you pay for. i've yet to see another 194 led lamp outperform these. give them a shot! keep in mind though, that some vehicles will not operate these lamps correctly unless you add a resistor to the circuit to &#34;load&#34; the circuit correctly. i didn't have this problem with my '03 silverado, but my '04 jeep did.<br /><br />disclaimer: i was provided a complimentary product from the seller, in exchange for an honest review."
positive,I really like these car seat covers. Just like in the pictures. Good fit (2015 Honda Civic) and comfortable.
positive,Great for charging up your electric scooter and bike while hauling them in the car. I got it also for car camping to use to power the hand pump to inflate an air mattress.
positive,Product is exactly as described and fitment is good.  The company replaced a sideskirt which arrived broken.
positive,"I bought a trailer it was open with the wire mesh painted black, the trailer was not even 12 months old it was brand-new but rust was  on the trailer may-be 10 to 15% of it  was starting to form rust,  I got the trailer at a discount, after spraying tooth hands of this product on all the rusted surfaces the trade of the brand-new, now my fenders don't look like a brand-new car paint job but for rock trailer all you can see is black metal now no signs that rust has ever existed, for the price of two cans I saved over $400 on the price of the trailer.... I would definitely recommend this product especially if you need the dark surface or black surface."
positive,"Solid, weather tight"
positive,works good for a cheepo starter made in Chinaland
positive,I definitely would not describe this as &#34;super soft&#34;.  Its OK.  I'm apprehensive about using it on high-end instruments.
negative,"Poor graphics, poor die cut."
positive,Very key the plastic backing on both sides - behind the fabric of course.  Causes whatever you are using to not collect in the sponge itself and ultimately get wasted.  Good idea and these work as good as any others we have used for coatings.
positive,Works perfect!  Installed the brackets in minutes.  Fits perfectly with Mictuning 42 curved light bar.
positive,love this on my car!!go Cubs
positive,Top quality and good fit 1968 olds delta 88 455 w/hei upgrade.
positive,Item as described & fast shipping
positive,"TL;DR:<br /><br />This vehicle awning works well especially if you're car camping, though the initial mounting process was a bit confusing. Definitely turns into a must have for camping in rainy weather. I wish the legs were a bit sturdier after semi-frequent use. Still a decent deal overall though since I haven't had any major issues after ~4 months.<br /><br />Detailed:<br /><br />We ended up mounting this to a cage rack on the top of a crossover. The instructions mention that for the best installation you may need to drill holes into the rack mount but we decided to just use the included clamps on the existing cage bars. After about 5 months the canopy is still in good condition, even with frequent highway driving and use (about once every two weeks or so when camping). If I end up moving it to a different cage rack I will get some foam or plastic material to make the mount fit on as snug as possible.<br /><br />The included zip cover keeps the canopy from getting sun damaged and/or wet when not in use. Though it's maybe changed a bit color wise from being exposed to the sun every day no issues with the zipper or the material has been noted.<br /><br />The canopy itself does a good job of keeping me dry and in the shade, even though the sides aren't 100% taut after setup. If you're living in your car or car camping there's enough room to setup a chair and/or comfortably change in the backseat.<br /><br />The legs are just okay in my opinion. I had to brace them with rocks and even dig a hole for them in one instance when the wind was really blowing strong one weekend. Sandbags would probably work better if you're planning on using this in harsher weather.<br /><br />Overall if you're a car camper, live in a vehicle, or just want a portable awning to use when traveling to relax in the shade, this vehicle awning fits the bill. Keep in mind though the legs will need some support in strong winds."
positive,Exactly what we needed
positive,"I had a star helmet and it was just big enough to cover their emblem. I have wolf bags, and other wolf emblems."
positive,My 2 year old SUV got too close to my garage door entry. No dents but transferred house paint onto the fender. Tried car wash and stronger detergents. No change. Bought this product T-415 and gave it a try. Worked great. Looks like the mishap never happened.
positive,This brush really helps getting the snow of the car windshield and windows. I like to fact that it is light weight.
positive,Works perfectly and arrived quickly.  Sure beats buying a replacement at the dealer.
positive,"Works perfectly. I had the snap-on / bluepoint variant of this tool and the quality of the OTC piece is every bit as good. It would be cool if OTC would make some longer arms for this and you could potentally use it to pull the crank gear / oilpump drive off a GM LS engines. Who knows, I might make my own on the CNC mill."
positive,"Thin, but good for road trips. Very handy. Kind of expensive."
positive,This is a very good quality helmet and goggle combo. My son rides a dirt bike and I appreciate the protection this helmet provides his head!
positive,"Easy to install, comes in two separate pieces but it's pretty self explanatitory. Really sturdy,  it's on my daughters bike and she's already broken her cup holder from loading and unloading but the phone holder is still intact and working.  Easy to us and works great if you need the navigation feature on your phone."
positive,"High Quality Cabin Filter, it's made of thicker material and had carbon on to deodorize the air, well made, very nice"
positive,Great lights. Just need new headlights and I'm good
positive,"It's amazing that Amazon sells this for under $23 a gallon with free Prime shipping.  Name brand Dexron VI usually runs $7-9 a quart at the local auto parts store.  This is quite a bit cheaper, and despite the shipping weight ends up on your doorstep.  I bought 2 gallons to do a pan drop fluid change on a 4T65-E.<br /><br />Update 4/24/15: I did the fluid change. The car is running just fine and shifting great. The fluid is every bit as good as the Valvoline and Castrol Dex VI I've used previously based on initial impression and I don't expect any problems later on because Dexron VI is a licensed formula where every brand must formulate it to meet the same spec."
positive,"This tail bag is AMAZING!!! It looks good on my bike and man it fits a lot of stuff! I frequently go grocery shopping after work and am able to fit dinner supplies in the bag. This tail bag is also fantastic for storing gloves, wet weather gear, and water bottles on longer trips. I really like how the bag can expand if needed. I am super happy with this! It fits my 2015 Kawasaki Ninja 650 perfectly!"
positive,as described
positive,"what can you say about an ashtray, for the most part it works just like you would want, however, my cars cup hold is on the center and  with the lid on this is I could only set it one way and it made it hard to ash which caused lots of ashes to fall into the cup holder.  The lid however it nice because it helps with the smell and you can move it to another spot in the car without worrying it will tip over."
positive,For years i would make adapters for my large machinery. Either by getting the large bore adapter for a regular air chuck or i would change the Tire Air Stems to a smaller ( Regular size)<br /><br />Now it takes no thinking.<br />I am able to hook this up to any air compressor via 1/4 NPT or Chicago fitting.<br /><br />Makes life much easier when you only need to thread 1 piece instead of 5.<br /><br />I wish i had found these years ago.
positive,"Gave this to my husband for his birthday. In over 20+ years of knowing each other, he said this was the best and most useful gift I've ever given him. LOL"
positive,Pads and rotors we're even better that I expected. You would have a hard time finding better brakes at a cheaper price.
positive,"Easy to set up and calibrate. The monitor sits securely on the sticky mat and does not slide. You can see tire pressure and temperature on each individual tire. I especially like it for my camper. I have 6 wheels being monitored continuously. I found that the monitor reads about 4 pounds lighter than my manual tire gauge. Also you need to use the included wrench to loosen and tighten the nut that secures the sensor in place. The wrench is not an exact fit so it is an effort to use. That being said, I still think this is a fantastic way to keep an eye on the tire pressures of not only your vehicle but also your trailer."
positive,"I wanted a PA only system without the sirens and this is the only one I found.  It is well made and I mounted it in a waterproof area on my vehicle and the PA works well.  It has wires for hooking up an electronic air horn, but no buttons or way to utilize that feature.  I did not need or want that feature anyway and using it as a PA only Public Address was perfect."
positive,Good fit and adequate protection. Quality product. Put one on my wife's 2015 Indian Scout and also on my 2014 Moto Guzzi V7 Special.
negative,"While these bulbs are not very bright, they do have a good focus pattern and in my projectors and I love the lack of a fan. That being said I am in the process of replacing them. These will be relegated to fog light service."
positive,The reflections from the bling cause me to look down at my instruments thinking a light has come on.
negative,To install bumper cover must be removed.
positive,"My husband ordered these and they fit, He uses and xl helmet..."
positive,Annual maintenance worked well
negative,Missing Parts: Clutch alignment Tool and Pilot Bearing
positive,"Was perfect,....shipped quick and easy to install"
positive,"This is great. There is no noise to this at all; I put in the front, adjust the passenger seat and it fits perfectly on the floor. I wanted to get to a cold drink quickly and better access to the lighter where it connects to. Just follow the instructions on setting it up and you're good to go. I drove 5 hours and it kept my food cold so when I stopped after 2.5 hours it was cold. Just like it says, no additional ice packs are needed either."
positive,Factory fit.
positive,Seem like heavy duty units
positive,"So I began searching for some new tires for my truck and found these little babies. They look even better in person than in the picture. I have yet to have them mounted, but will update when I do. I am a little anxious to put them to use. I will update when I do. Will be a couple of months though. I am sure that I will be pleased."
positive,Nice Product and shipped fast.
positive,Perfect fix for the rust 12v outlet in my TJ Jeep.  I only had to enlarge the hole a little bit to install and only took a few minutes.  Well worth the price and looks to be good quality.
positive,Nice backpack! Love it!
positive,"The Toyota Dealer wants over $20 ,for a air filter.  It  looks just as good as the factory one, for a forth  of the cost."
negative,"It covers the cracks on my dash, made like a cheap 80's velour shirt. Doesn't stick."
positive,Great product. Well made. Very durable. We have taken this on over a dozen trips over the past three years. It has seen thousand of miles and has held up great. I highly recommend this product.
positive,"Excellent quality, so far so good. Fit perfectly."
negative,installed one on each side. Passenger side fell apart within 4 months!  One of the joints is loose and wobbles causing the clunking sound just as the previous oem original that was at 70k miles!!!<br /><br />Not happy bu going to try it a gain and see what happens.. wish me luck!
positive,great battery! don't waste your money on a cheap battery if you have EFI it'll leave you stranded at the worst possible time.
positive,Great price and product. Good seller
positive,It looks great and feels soft. It stays perfectly on my seat belt cover. It is easy to re-adjust to the position that I like. I wish there are more colors to choose though!
positive,So far so good. Edge of driver seat came apart. This helped cover it so foam would stop coming out. Seat still needs sewing.  This cover still slides out just a bit. I was having a hard time with how to really anchor it. Their way is not really anchoring it in the back.<br />  But the cover works just fine once it is is on.
positive,Gas cans work MUCH better now after being able to be vented rather than the through spout vent.
positive,Great quality belts for the price
negative,no
positive,I am satisfied and happy with my purchase at the moment and see no issues with the quality and effectiveness of the product as it works perfectly as intended.
positive,"Dude! I get the blind screaming munchies sometimes and can't wait to get home. GOTTA EAT! This thing makes it sooooo easy to put the fire sauce on MY dooreetoes-locos-tacos! Then they become toast! Like an assembly line, but backasswards!"
positive,Great. It was packaged really good. Time was perfect and in order. I absolutely love to shop my AMAZON.
positive,"Installed today. Evened my TJ out perfectly. First side took a few hours. Second side took about 30 minutes since I knew what to do. You can actually get these in much easier than the directions say. Start by jacking up ONE side of TJ and removing the wheel. Leave the other wheel on the Jeep and on the ground. Jack up the bottom of the control arm and put a jack stand under the frame just behind the control arm (in directions). Jack it up A LOT so the spring compresses then put a spring compressor on (I used a ratcheting tie down believe it or not). Then disconnect the sway bar links (in the directions) and disconnect the lower shock mounts (also in the directions). Then SSLLOOWWLLYY lower the jack/control arm enough to get the spring out. I kept the jack under the control arm just to prevent possible unnecessary strain. Then pull the bump stop (I used a big flat head as a pry). I ran into trouble because the bolt holding the bump stop cap was super rusted out. Looked like it only had 4 sides left but after hammering a few mistakenly large sockets around it, enough rust broke loose and it came out easy enough (15mm I think). Slide on your Daystars and put it all back together. Use white lithium grease or similar or you will likely never get the bump stops back in. All in all, it's only four bolts per side and not difficult. You will need a massive star bit to remove the sway bar links, but I'm guessing you've already got one if your links fail as often as mine. Great price, love how the Jeep looks now, and I would say no need for the rear .75&#34; spacers. Off to get an alignment...and will report if the ride suffers but I took a quick drive and it seemed ok."
positive,"What good is a gas can you can't use to fill up what you need to? These work for generator, or lawn mower, although the filler nozzle is still a paint with the ""safety feature"" but you cannot fill up a car gas tank at all! Saw these on YouTube and ordered it right away. Next day was in the garage when they were delivered, and installed them right away. 2 cans set to be used for emergency car fuel, one kept as is for generator (we use ethanol free in that one). These work to fit my Ford Explorer, my wife's Jeep Compass, and our 97 Dodge RAM pickup. It has taken a useless can into a fine solution!<br /><br />We kept the old lids in case we need to put them back for some reason, but these are the best for solving the problem with filling a car from safety cans."
positive,This tire pump works great! I love it. No more hand pumping my bike tires. Comes with handy little case.
positive,"I couldn't believe it was that easy.  So I tried to make it hard the first lift support.  Then I realized ""no it is that easy"" and quickly changed out the second lift support.  Now I no longer smack my head on the lift gate as it opens to the correct height."
positive,It arrived earlier than expected and it works well. There is only one small problem and that is the metal ring is a little bent. Other than that it works perfectly. Would buy again.
positive,Work great
positive,"i had some old rusted drums on my 96 camry, replaced it and now my rear brakes work great!"
negative,Does not function.  Does not connect to WiFi or detected by software.
positive,These are an awesome addition for when I’m putting lights on my jeep!!
positive,"Went in easily into my 2006 VW Passat 2.0T.  Had them installed in a matter of minutes, and they have been bright since."
positive,"I was surprised how easy this dock mount was to install and use.  I installed it in about 5 minutes.  I do not leave my AP installed, but remove it when I park.  The clip that holds the wire connector also holds the clip open, but the mount holds tightly and the AP does not move around.  Very happy."
positive,Good and on time
positive,Never got a chance to use it. It was stolen from my garage shortly after I purchased it &#62;_&#60; but I can say it was very well built.
positive,"Love my Baby Groot Sticker! I've had him on the back of my car for over a year and no fading, chipping or peeling of the sticker. Excellent quality and value."
positive,"Decent quality mats that fit well, should last a while."
negative,"After one week keeps slipping off visor. The clip has expanded and no longer secure. Have tried two with same results.<br /><br />The company has responded to my concern and gave me a full refund, they have stated that they have spoken to manufacturer. I would not purchase unless assurances given about product improvement."
positive,very nice
positive,Haven't used it yet but I am sure it works as designed
positive,Great looking product.
positive,"Now, the hood ""springs"" back to upright position upon hood release."
positive,nice hitch for the money.  much cheaper than cabelas and i believe it is a bit nicer.
positive,Fits my 2011 Sonata perfectly! Nice thick material and keeps the intense Florida sun out! Really noticed a difference using this. Highly recommended!
positive,A snap (literally) to install.  Had both the old ones out and these installed in 5 minutes
positive,Item came as described! It fit our 2012 Chevy Colorado perfect!
positive,"Very happy with seller. Merchandise was still in manufacturer original packaging. There was no questions that this battery was new, clean, & ready to perform!"
positive,"I had an old 75 F250 and 73 Cougar sitting in the carport for the last 10 years. New points, plugs, condensers, caps, plugs, rotors, gas dryer, ether, and this stuff and they are both running shockingly well."
positive,Purchased a HOTOR car vacuum cleaner and used for the 1st time today. It picked up debris well and the crevice attachment tool fit well between the front seats and console.  I was pleased with the suction.
positive,Heavy duty. Had to trim mat on the drivers side of vehicle. Use in my Mazda CX3
positive,Tiny bit of snow and ice way out here<br />This does the job
negative,do not fit our truck ...Ford F 150 but said they were supposed to.  Unhappy!
positive,"This is a great product and company. The product is well made, highly reflective, durable and attractive. Company is very customer friendly and does everything it can to customize the product to your specs."
positive,Anchor points for my utility trailer
positive,I thought the price was fair and was happy it worked so well. I used it a few times shortly after purchase to inflate a tire which has a slow leak.  After my car sat flat for a few days my rear passenger tire would be completely flat.  Took about 10 minutes to fill up the tire each time.  Definitely worth the money!!
positive,"My go to item to help save my back some when doing things on cars, especially anything related to tires/rims, such as inflating/deflating car tires at seasonal changes, washing tires/rims, applying any products to low parts on cars. It also has a little shelf to rest items on, under the seat cushion. Then, tilt it over purposefully to have it become a stepstool to reach top of SUV’s. If you own a vehicle and already feel aches in your back, to me, the cost has already been worth it. If it ever breaks, would I buy it again? I’d likely try to repair it first, it has a lot going on for it, in a good way, then keep using it for some more years, then eventually cave and buy it again, yes."
positive,"This product works well for blocking the sun, and I don’t have to keep moving the visor back and forth. The only drawback is you can’t roll your window down or it falls off."
positive,GREAT STUFF.  SEALS RV ROOF VERY WELL WITH PROPER PREP.  COST HERE IS WELL BELOW THAT OF LOCAL RV STORE. BE CAREFUL DURING APPLICATION CAUSE ONCE IT'S DOWN IT STAYS.  A LITTLE AWKWARD REMOVING BACKING WHILE APPLYING IN TIGHT SPOTS SO DO A &#34;TRIAL WITHOUT REMOVING THE COVER OVER THE ADHESIVE IF YOU NEED TO SHAPE OR MAKE CORNERS.  CUTS EASILY WITH SISSORS SO YOU CAN &#34;CUSTOM FIT AROUND CORNERS TOO.  PATCHES HAVE BEEN ON TWO MONTHES AND EXPOSED TO DAILY SUN AND QUITE A BIT OF HARD RAIN-NO LEAKS.
positive,works nice especially on riding lawn mower.
positive,You guys make the best
positive,Fit my 2004 I35 perfectly. Easy to install (so my husband said) and sounds much better than my rusted out one
positive,"Small shelf foot print, but holds a lot of oil. My dad had a similar one many years ago. I got tired of using the quart containers and bought this. No regrets. Works great. It's easy to control the flow. Just the amaout needed right where you need it."
positive,Used it for my 98 RAV4. Works perfect
positive,Very simple design.  Push on and push again it is off.
positive,"I installed these on my 2012 Super Tenere with 1 inch Touratech bash bars, this is a real basic install and you don't need any specialize tools or skills.  They look great and fold easy, with proper slack bolt adjustment there is no rattling and pegs stay folded up when not in use.  I did not use any aftermarket mounting bolts , washers or loktite and they have not moved at all.  The matt finish is pretty rad also matching the bike perfect.  I don't care if they got scratched up a bit during install because they are going to get beat up any way by my boots road trash and trail riding.  Happy trails and have fun."
positive,I use on the drives side. Easy to empty and clean if needed
positive,"It really does what it's supposed to do. It's a bit hard to put on, but it's worth it being on there. Really comfortable."
